# pillars fitness generations fitness_evals pillar_sequence
5 0.981 59 5900 [2, 4, 11, 3, 3]
5 0.978 56 5600 [11, 19, 2, 4, 0]
5 0.985 60 6000 [19, 7, 3, 4, 2]
5 0.986 66 6600 [11, 3, 3, 2, 4]
5 0.984 70 7000 [19, 3, 4, 2, 7]
5 0.986 94 9400 [11, 3, 3, 2, 4]
5 0.978 58 5800 [2, 4, 11, 7, 11]
5 0.984 192 19200 [19, 3, 7, 4, 2]
5 0.985 61 6100 [19, 7, 3, 4, 2]
5 0.973 59 5900 [5, 11, 2, 0, 19]
