# pillars fitness generations fitness_evals pillar_sequence
4 0.978 55 5500 [3, 7, 11, 3]
4 0.986 91 9100 [19, 3, 4, 2]
4 0.987 56 5600 [11, 11, 4, 2]
4 0.978 103 10300 [11, 3, 7, 3]
4 0.981 58 5800 [3, 2, 4, 19]
4 0.985 59 5900 [3, 19, 2, 4]
4 0.979 59 5900 [11, 3, 3, 7]
4 0.986 100 10000 [19, 3, 4, 2]
4 0.985 70 7000 [19, 2, 4, 3]
4 0.986 85 8500 [19, 3, 2, 4]
