# pillars fitness generations fitness_evals pillar_sequence
6 0.979 75 7500 [3, 11, 4, 3, 0, 2]
6 0.987 78 7800 [11, 7, 3, 3, 4, 2]
6 0.971 60 6000 [31, 3, 4, 8, 11, 19]
6 0.987 60 6000 [4, 2, 11, 11, 4, 2]
6 0.976 63 6300 [3, 0, 6, 3, 3, 3]
6 0.987 103 10300 [11, 7, 3, 3, 4, 2]
6 0.985 60 6000 [7, 11, 3, 3, 2, 4]
6 0.989 98 9800 [3, 19, 4, 2, 2, 4]
6 0.987 62 6200 [11, 3, 7, 3, 2, 4]
6 0.984 67 6700 [11, 2, 4, 7, 3, 3]
