# pillars fitness generations fitness_evals pillar_sequence
7 0.966 66 6600 [19, 11, 19, 27, 27, 27, 27]
7 0.966 64 6400 [19, 11, 19, 27, 27, 27, 27]
7 0.966 69 6900 [19, 11, 19, 27, 27, 27, 27]
7 0.966 64 6400 [19, 19, 11, 19, 27, 27, 27]
7 0.966 94 9400 [19, 11, 19, 27, 27, 27, 27]
7 0.966 89 8900 [19, 11, 19, 27, 27, 27, 27]
7 0.966 64 6400 [19, 11, 19, 27, 27, 27, 27]
7 0.966 72 7200 [19, 11, 19, 27, 27, 27, 27]
7 0.965 69 6900 [11, 19, 19, 27, 27, 27, 27]
7 0.966 106 10600 [19, 11, 19, 27, 27, 27, 27]
